PolygonLayer1_label,Value0
,12.7
,18.4
,14.9
,12.1
,21.0
,9.4
,12.3
,20.3
,11.4
,15.2
,8.3
,9.4
,15.6
,21.8
,22.2
,13.5
,15.5
,9.7
,19.2
,19.7
,15.0
,19.3
,14.0
,32.5
,22.1
,19.5
,12.4
,15.8
,13.5
,20.1
,11.5
,19.4
,17.6
,18.0
,10.9
,11.2
,20.8
,18.2
,23.0
,22.7
,11.3
,14.9
,8.9
,15.7
,9.9
,9.0
,10.6
,18.4
,12.6
,13.4
,11.4
,11.3
,11.4
,14.0
,22.4
,6.4
,10.5
,9.8
,7.8
,9.3
,8.9
,17.1
,19.9
,19.9
,13.1
,12.0
,10.8
,20.1

PolygonLayer2_label,Value0
,12.3
,15.6
,10.2
,13.5
,16.0
,11.8
,9.4
,9.9
,11.2
,14.1
,12.7
,13.5
,9.0
,11.0
,11.4
,11.9
,11.0
,11.3
,16.0
,18.8
,10.9
,9.1
,9.5
,12.9
,8.9
,19.5
,12.9
,12.6
,9.9
,12.7
,7.5
,9.1
,17.5
,13.1
,13.6
,10.5
,13.0
,15.1
,11.5
,12.0
,11.6
,13.9
,11.9
,13.8
,13.6
,8.8
,10.1
,9.9
,9.8
,16.2
,10.4
,9.9

Textbox105,Textbox106,fips2,county2,ruc_code2,total_est_pct3,total_est_pct_Bmin3,total_est_pct_Bmax3,under18_pct3,under18_pct_Bmin3,under18_pct_Bmax3
All people in poverty (2019),Children ages 0-17 in poverty (2019),12000,Florida,,12.7,12.5,12.9,18.2,17.6,18.8
All people in poverty (2019),Children ages 0-17 in poverty (2019),12001,Alachua,2,18.4,16.4,20.4,17.7,12.8,22.6
All people in poverty (2019),Children ages 0-17 in poverty (2019),12003,Baker,1,14.9,11.5,18.3,21.0,14.8,27.2
All people in poverty (2019),Children ages 0-17 in poverty (2019),12005,Bay,3,12.1,9.5,14.7,18.2,12.4,24.0
All people in poverty (2019),Children ages 0-17 in poverty (2019),12007,Bradford,6,21.0,17.3,24.7,27.2,20.3,34.1
All people in poverty (2019),Children ages 0-17 in poverty (2019),12009,Brevard,2,9.4,7.9,10.9,12.7,9.1,16.3
All people in poverty (2019),Children ages 0-17 in poverty (2019),12011,Broward,1,12.3,11.3,13.3,16.4,14.1,18.7
All people in poverty (2019),Children ages 0-17 in poverty (2019),12013,Calhoun,6,20.3,15.1,25.5,28.3,19.3,37.3
All people in poverty (2019),Children ages 0-17 in poverty (2019),12015,Charlotte,3,11.4,9.6,13.2,19.9,15.6,24.2
All people in poverty (2019),Children ages 0-17 in poverty (2019),12017,Citrus,3,15.2,13.1,17.3,24.5,18.4,30.6
All people in poverty (2019),Children ages 0-17 in poverty (2019),12019,Clay,1,8.3,6.8,9.8,12.1,9.1,15.1
All people in poverty (2019),Children ages 0-17 in poverty (2019),12021,Collier,2,9.4,7.8,11.0,14.0,10.0,18.0
All people in poverty (2019),Children ages 0-17 in poverty (2019),12023,Columbia,4,15.6,12.6,18.6,21.7,14.9,28.5
All people in poverty (2019),Children ages 0-17 in poverty (2019),12027,DeSoto,6,21.8,16.6,27.0,30.5,21.2,39.8
All people in poverty (2019),Children ages 0-17 in poverty (2019),12029,Dixie,6,22.2,16.5,27.9,30.5,20.8,40.2
All people in poverty (2019),Children ages 0-17 in poverty (2019),12031,Duval,1,13.5,12.3,14.7,19.5,16.6,22.4
All people in poverty (2019),Children ages 0-17 in poverty (2019),12033,Escambia,2,15.5,13.5,17.5,24.6,20.0,29.2
All people in poverty (2019),Children ages 0-17 in poverty (2019),12035,Flagler,2,9.7,8.0,11.4,16.5,12.0,21.0
All people in poverty (2019),Children ages 0-17 in poverty (2019),12037,Franklin,6,19.2,14.5,23.9,30.1,20.9,39.3
